0.739 ± 0.043   nhidden 128,nembed 64,layer 1,dataset Texas,sub_dataset Reed98,run 2,epochs 200,heads 5,m 5,alpha 0.85,lr 0.001
0.743 ± 0.047   nhidden 128,nembed 64,layer 1,dataset Texas,sub_dataset Reed98,run 10,epochs 200,heads 5,m 5,alpha 0.85,lr 0.001
